ID,Gender,Household income,Method,Education,Household size,Rainfall,Ave temp,Travel time,Amount spent,Availability,Quality,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Volume in lpcd
291,female,60000,delivered,1,3,0,75,13,450,not_often,good,500,0,0,0,0,120
292,female,75000,delivered,1,4,0,75,34,330,often,good,380,0,0,0,0,90
293,female,90000,delivered,1,6,0,75,84,165,often,good,210,0,0,0,0,50
294,female,60000,delivered,1,3,0,75,8,480,not_often,good,300,0,0,0,0,130
295,female,105000,delivered,1,6,0,75,94,480,not_often,good,300,0,0,0,0,30
296,female,40000,delivered,1,4,0,75,94,480,not_often,fair,300,0,0,0,0,30
297,female,85000,delivered,1,6,0,75,98,480,often,very good,300,0,0,0,0,30
298,female,45000,delivered,1,3,0,75,74,210,not_often,good,260,0,0,0,0,60
299,female,65000,delivered,1,4,0,75,94,210,not_often,good,260,0,0,0,0,30
300,female,45000,delivered,1,3,0,75,74,210,often,good,260,0,0,0,0,60
301,female,100000,delivered,1,4,0,75,84,165,not_often,good,210,0,0,0,0,50
302,female,100000,delivered,1,5,0,75,44,210,not_often,fair,260,0,0,0,0,60
303,female,100000,delivered,1,3,0,75,24,360,not_often,good,410,0,0,0,0,100
304,female,100000,delivered,1,4,0,75,64,240,often,good,290,0,0,0,0,70
305,female,100000,delivered,1,4,0,75,64,240,not_often,good,290,0,0,0,0,70
306,female,100000,delivered,1,6,0,75,74,210,not_often,good,260,0,0,0,0,60
307,female,100000,delivered,1,3,0,75,8,525,often,fair,480,0,0,0,0,140
308,female,70000,delivered,1,5,0,75,28,330,often,fair,380,0,0,0,0,90
309,female,65000,delivered,1,5,0,75,28,285,not_often,good,330,0,0,0,0,80
310,female,105000,delivered,1,4,0,75,28,360,often,fair,410,0,0,0,0,100
311,female,100000,carried,1,3,0,75,13,450,not_often,fair,500,0,0,0,0,120
312,female,65000,delivered,1,5,0,75,13,450,often,fair,500,0,0,0,0,120
313,female,70000,carried,1,5,0,75,44,240,often,good,290,0,0,0,0,70
314,female,90000,delivered,1,6,0,75,48,210,not_often,fair,260,0,0,0,0,60
315,male,70000,delivered,1,5,0,75,84,120,often,fair,170,0,0,0,0,40
316,female,90000,delivered,1,6,0,75,44,240,often,fair,290,0,0,0,0,70
317,male,45000,carried,1,3,0,75,8,765,not_often,good,280,0,0,0,0,200
318,female,60000,carried,1,3,0,75,13,450,not_often,fair,500,0,0,0,0,120
319,female,40000,delivered,1,4,0,75,13,405,often,good,450,0,0,0,0,110
320,male,40000,delivered,1,4,0,75,13,405,often,fair,450,0,0,0,0,110
321,male,105000,delivered,1,3,0,75,8,525,often,fair,480,0,0,0,0,140
322,male,100000,delivered,1,2,0,75,8,840,often,fair,550,0,0,0,0,220
323,female,100000,delivered,1,6,0,75,24,360,not_often,fair,410,0,0,0,0,100
324,female,100000,delivered,1,3,0,75,8,525,often,good,480,0,0,0,0,140
325,male,100000,delivered,1,3,0,75,84,210,often,good,260,0,0,0,0,60
326,male,100000,delivered,1,6,0,75,94,210,often,good,260,0,0,0,0,30
327,male,100000,delivered,1,5,0,75,98,210,often,fair,260,0,0,0,0,30
328,female,100000,delivered,1,4,0,75,134,210,not_often,fair,260,0,0,0,0,30
329,female,45000,delivered,1,6,0,75,134,210,not_often,fair,260,0,0,0,0,20
330,female,60000,carried,1,3,0,75,84,210,not_often,good,260,0,0,0,0,60
331,female,80000,delivered,1,4,0,75,74,120,not_often,good,170,0,0,0,0,40
332,male,105000,carried,1,4,0,75,84,120,not_often,fair,170,0,0,0,0,40
333,female,70000,delivered,1,5,0,75,134,120,often,good,170,0,0,0,0,20
334,male,75000,delivered,1,4,0,75,84,120,often,fair,170,0,0,0,0,40
335,male,75000,carried,1,4,0,75,84,120,often,fair,170,0,0,0,0,40
336,male,75000,delivered,1,4,0,75,34,330,often,good,380,0,0,0,0,90
